Index,status,open_time,open_price,high_setup,real_high,high_bar,low_setup,real_low,low_bar,DD_point,DD_bar,TP_get,TP_bar,TP_same,side,result,profit,prob
194,Buy win,2021-06-23T00:30:00+07:00,0.7544,0.75438,0.75438,39,0.74953,0.74953,19,0.75379,17,0.75603,29,0.75603,Buy,win,0.336082474,0.001135414
195,Sell win,2021-06-28T15:00:00+07:00,0.75789,0.76123,0.76123,38,0.75799,0.75799,22,0.75917,0,0.75598768,7,0,Sell,win,0.587135802,0.001983567
196,Sell win,2021-07-01T22:00:00+07:00,0.74675,0.75961,0.75041,161,0.74786,0.74786,18,0.7481,0,0.7462841,5,0,Sell,win,0.039651064,0.000133956
197,Buy win,2021-07-05T16:00:00+07:00,0.75336,0.75321,0.75321,30,0.74496,0.7512,48,0.75174,10,0.75445218,26,0,Buy,win,0.132385455,0.000447248
198,Sell win,2021-07-07T21:00:00+07:00,0.74723,0.7526,0.7526,4,0.74865,0.74865,43,0.75083,0,0.7462089,22,0,Sell,win,0.258506329,0.000873332
199,Buy loss,2021-07-13T19:30:00+07:00,0.7493,0.74912,0.74912,21,0.74512,0.74716,31,0.74307,22,0.75021,0,0.75021,Buy,loss,-1.5575,-0.005261824
200,Sell win,2021-07-13T19:30:00+07:00,0.74307,0.74912,0.74912,43,0.74512,0.74716,53,0.74791,0,0.74594872,1,0.75021,Sell,win,0.71968,0.002431351
201,Sell loss,2021-07-14T15:30:00+07:00,0.74393,0.74662,0.74662,5,0.74396,0.74396,18,0.74833,8,0.74393,0,0.74393,Sell,loss,-1.654135338,-0.005588295
202,Buy win,2021-07-14T19:30:00+07:00,0.74833,0.74662,0.74662,13,0.74396,0.74396,26,0.74614,0,0.74826388,1,0.74393,Buy,win,0.024857143,8.40E-05
203,Sell win,2021-07-15T18:00:00+07:00,0.74485,0.74793,0.74793,10,0.74535,0.74535,17,0.74619,0,0.74375556,2,0,Sell,win,0.42420155,0.001433113
204,Sell win,2021-07-16T20:30:00+07:00,0.74124,0.7442,0.7442,10,0.7413,0.7413,40,0.74236,0,0.7395078,11,0,Sell,win,0.597310345,0.00201794
205,Sell win,2021-07-20T13:00:00+07:00,0.73199,0.73534,0.73534,8,0.73218,0.73218,22,0.73348,6,0.73022712,14,0,Sell,win,0.557873418,0.001884707
206,Sell loss,2021-07-21T12:30:00+07:00,0.72977,0.73394,0.73394,11,0.7305,0.7305,33,0.73411,18,0.7293,0,0.7293,Sell,loss,-1.261627907,-0.004262256
207,Buy win,2021-07-21T21:30:00+07:00,0.73411,0.73394,0.73394,29,0.7305,0.7305,51,0.73319,0,0.73606592,9,0.7293,Buy,win,0.568581395,0.001920883
208,Sell loss,2021-07-28T17:00:00+07:00,0.73399,0.7389,0.7389,87,0.73403,0.73403,52,0.73937,42,0.73102034,0,0,Sell,loss,-1.104722793,-0.003732172
209,Buy win,2021-07-29T14:00:00+07:00,0.73937,0.7389,0.7389,129,0.73403,0.73403,94,0.73771,13,0.74022,15,0.74022,Buy,win,0.174537988,0.000589655
210,Buy win,2021-08-03T11:30:00+07:00,0.73998,0.73849,0.73849,86,0.73323,0.73622,69,0.7361,18,0.73989286,36,0.74027,Buy,win,0.01656654,5.60E-05
211,Sell win,2021-08-06T19:30:00+07:00,0.7375,0.74135,0.74135,50,0.73839,0.73839,21,0.74012,0,0.73656072,2,0,Sell,win,0.317324324,0.001072042
212,Sell win,2021-08-10T00:00:00+07:00,0.73326,0.73594,0.73594,7,0.73327,0.73327,36,0.73414,3,0.73161994,18,0,Sell,win,0.614254682,0.002075185
213,Sell win,2021-08-16T18:30:00+07:00,0.73305,0.73796,0.73796,39,0.73323,0.73323,82,0.7342,8,0.73030686,30,0,Sell,win,0.579945032,0.001959274
214,Sell win,2021-08-18T20:00:00+07:00,0.7241,0.72679,0.72679,18,0.72433,0.72433,41,0.72643,10,0.72280972,15,0,Sell,win,0.524504065,0.001771973
215,Buy loss,2021-08-27T03:30:00+07:00,0.72787,0.72683,0.72683,55,0.72375,0.72375,23,0.72359,53,0.72798,0,0.72798,Buy,loss,-1.38961039,-0.00469463
216,Sell loss,2021-08-27T03:30:00+07:00,0.72359,0.72683,0.72683,108,0.72375,0.72375,76,0.72896,35,0.72247,0,0.72247,Sell,loss,-1.743506494,-0.005890225
