time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-12-27T11:00:00+07:00,16868,16873,16868,16872,16879.9,16927.80783,16831.99217,40.83333333,26.32716049
2022-12-27T11:15:00+07:00,16872,16872,16868,16870,16880.55,16927.54138,16833.55862,62.85714286,43.42151675
2022-12-27T11:30:00+07:00,16868,16875,16867,16872,16880.5,16927.52552,16833.47448,74.04761905,59.24603175
2022-12-27T11:45:00+07:00,16871,16886,16869,16886,16878.95,16923.01121,16834.88879,85.71428571,74.20634921
2022-12-27T12:00:00+07:00,16887,16888,16885,16887,16875.25,16898.76914,16851.73086,91.26984127,83.67724868
2022-12-27T12:15:00+07:00,16886,16886,16879,16879,16873.7,16891.15967,16856.24033,84.12698413,87.03703704
2022-12-27T12:30:00+07:00,16878,16878,16872,16872,16873.2,16890.24817,16856.15183,58.73015873,78.04232804
2022-12-27T12:45:00+07:00,16872,16879,16871,16872,16873.25,16890.27792,16856.22208,32.24728488,58.36814258
2022-12-27T13:00:00+07:00,16872,16872,16867,16867,16872.5,16889.23918,16855.76082,13.19966583,34.72570315
2022-12-27T13:15:00+07:00,16867,16869,16863,16866,16872.45,16889.26041,16855.63959,9.610983982,18.3526449
2022-12-27T13:30:00+07:00,16866,16873,16864,16873,16873.2,16888.64798,16857.75202,25.18115942,15.99726974
2022-12-27T13:45:00+07:00,16873,16884,16873,16884,16874.15,16889.7996,16858.5004,58.51449275,31.10221205
2022-12-27T14:00:00+07:00,16884,16885,16873,16875,16873.6,16888.28877,16858.91123,72.34848485,52.01471234
2022-12-27T14:15:00+07:00,16876,16877,16874,16877,16873.3,16887.44355,16859.15645,72.72727273,67.86341678
2022-12-27T14:30:00+07:00,16878,16879,16858,16863,16872.6,16887.31598,16857.88402,45.5667789,63.54751216
2022-12-27T14:45:00+07:00,16863,16871,16862,16871,16872.2,16886.63052,16857.76948,43.43434343,53.90946502
2022-12-27T15:00:00+07:00,16871,16871,16846,16851,16871.6,16888.32603,16854.87397,26.4957265,38.49894961
2022-12-27T15:15:00+07:00,16851,16865,16849,16865,16871.6,16888.32603,16854.87397,39.51480618,36.48162537
2022-12-27T15:30:00+07:00,16865,16867,16858,16863,16871.65,16888.26656,16855.03344,40.63714064,35.54922444
2022-12-27T15:45:00+07:00,16863,16865,16851,16851,16870.8,16889.66372,16851.93628,43.03030303,41.06074995
2022-12-27T16:00:00+07:00,16851,16851,16842,16849,16869.65,16890.75237,16848.54763,31.88436085,38.51726817
2022-12-27T16:15:00+07:00,16849,16853,16846,16853,16868.8,16891.11233,16846.48767,29.37931034,34.76465808
2022-12-27T16:30:00+07:00,16853,16858,16853,16858,16868.1,16890.84115,16845.35885,44.04597701,35.10321607
2022-12-27T16:45:00+07:00,16859,16873,16858,16873,16867.45,16888.8086,16846.0914,69.33333333,47.5862069
2022-12-27T17:00:00+07:00,16873,16873,16864,16864,16866.3,16885.71237,16846.88763,78.32258065,63.90063033
2022-12-27T17:15:00+07:00,16865,16866,16856,16856,16865.15,16884.1371,16846.1629,69.33492632,72.3302801
2022-12-27T17:30:00+07:00,16857,16858,16853,16853,16864.2,16883.61752,16844.78248,36.00159299,61.21969999
2022-12-27T17:45:00+07:00,16853,16855,16849,16855,16863.35,16882.81561,16843.88439,20.67901235,42.00517722
2022-12-27T18:00:00+07:00,16854,16857,16852,16852,16862.6,16882.594,16842.606,12.5,23.06020178
2022-12-27T18:15:00+07:00,16851,16853,16811,16828,16860.7,16885.64875,16835.75125,22.8030303,18.66068088
2022-12-27T18:30:00+07:00,16828,16828,16823,16827,16858.4,16886.65173,16830.14827,25.8172147,20.373415
2022-12-27T18:45:00+07:00,16826,16833,16824,16830,16855.7,16883.97083,16827.42917,35.41866398,28.01296966
2022-12-27T19:00:00+07:00,16830,16830,16828,16830,16853.45,16882.37387,16824.52613,38.88374961,33.37320943
2022-12-27T19:15:00+07:00,16831,16831,16820,16822,16850.7,16880.58712,16820.81288,36.26639061,36.85626807
2022-12-27T19:30:00+07:00,16822,16829,16819,16822,16848.65,16880.44481,16816.85519,29.64113182,34.93042401
2022-12-27T19:45:00+07:00,16823,16829,16805,16810,16845.6,16879.84266,16811.35734,21.82539683,29.24430642
2022-12-27T20:00:00+07:00,16810,16827,16807,16827,16844.4,16879.47364,16809.32636,41.3003663,30.92229831
2022-12-27T20:15:00+07:00,16827,16829,16821,16829,16842.6,16876.94763,16808.25237,64.92673993,42.68416768
2022-12-27T20:30:00+07:00,16829,16829,16821,16821,16840.5,16874.73741,16806.26259,81.1965812,62.47456247
2022-12-27T20:45:00+07:00,16821,16821,16814,16817,16838.8,16874.14176,16803.45824,69.65811966,71.92714693
2022-12-27T21:00:00+07:00,16817,16820,16813,16814,16837.05,16873.64221,16800.45779,49.49494949,66.78321678
2022-12-27T21:15:00+07:00,16814,16819,16814,16815,16835.15,16872.1758,16798.1242,31.43939394,50.1974877
2022-12-27T21:30:00+07:00,16815,16815,16738,16768,16830.65,16876.33709,16784.96291,25.76173826,35.56536057
2022-12-27T21:45:00+07:00,16768,16769,16734,16769,16825.45,16874.24129,16776.65871,28.56563934,28.58892385
2022-12-27T22:00:00+07:00,16766,16772,16744,16772,16820.85,16871.54625,16770.15375,39.12765485,31.15167748
2022-12-27T22:15:00+07:00,16772,16823,16772,16818,16818.95,16867.01444,16770.88556,59.59931801,42.43087073
