time,open,high,low,close,%K,%D,,,,,,
2010-07-05T21:00:00Z,0.83961,0.85595,0.83168,0.85249,42.26617856,27.20350301,,,,,,
2010-07-06T21:00:00Z,0.85249,0.86633,0.84493,0.86418,65.63427293,43.55949038,,,,,,
2010-07-07T21:00:00Z,0.86418,0.8791,0.86217,0.87729,91.09267649,66.33104266,,,,,,
2010-07-08T21:00:00Z,0.87729,0.87804,0.87272,0.87774,95.70992884,84.14562609,,,,,,
2010-07-11T21:00:00Z,0.87774,0.87795,0.87016,0.87585,95.48713623,94.09658052,,,,,,
2010-07-12T21:00:00Z,0.87585,0.88411,0.86823,0.88312,95.91718806,95.70475104,,,,,,
2010-07-13T21:00:00Z,0.88312,0.8871,0.87853,0.88489,93.91824362,95.10752264,,,,,,
2010-07-14T21:00:00Z,0.88489,0.88539,0.87269,0.88431,91.27433517,93.70325562,,,,,,
2010-07-15T21:00:00Z,0.88431,0.88452,0.86814,0.87011,62.24670008,82.47975962,,,,,,
2010-07-18T21:00:00Z,0.87011,0.87193,0.86328,0.86834,38.94919166,64.1567423,,,,,,
2010-07-19T21:00:00Z,0.86834,0.88461,0.86674,0.88381,39.27367528,46.82318901,,,,,,
2010-07-20T21:00:00Z,0.88381,0.8859,0.87624,0.87802,57.53143418,45.25143371,,,,,,
2010-07-21T21:00:00Z,0.87802,0.89523,0.87372,0.89324,81.70772243,59.5042773,,,,,,
2010-07-22T21:00:00Z,0.89324,0.89717,0.8896,0.89661,85.76089507,75.00001723,,,,,,
