time,open,high,low,close,Basis,Upper,Lower,%K,%D
2022-05-18T16:00:00+07:00,977.11,979.07,976.2,977.01,972.625,979.07,966.18,88.71387988,76.72280127
2022-05-19T09:00:00+07:00,964.11,964.11,963.46,963.5,971.265,979.07,963.46,60.87308656,77.00396761
2022-05-19T10:00:00+07:00,962.77,969.69,961.82,967.81,970.445,979.07,961.82,39.11463246,62.90053297
2022-05-19T11:00:00+07:00,968.54,971.26,967.83,970.54,970.445,979.07,961.82,28.5105361,42.83275171
2022-05-19T12:00:00+07:00,970.62,971.23,969.32,970.79,970.445,979.07,961.82,45.75845411,37.79454089
2022-05-19T14:00:00+07:00,969.6,969.61,965.46,968.91,970.445,979.07,961.82,59.21888561,44.49595861
2022-05-19T15:00:00+07:00,967.7,969.96,967.56,968.28,970.445,979.07,961.82,65.17937853,56.71890608
2022-05-19T16:00:00+07:00,967.76,969.57,966.66,966.84,970.445,979.07,961.82,55.77707968,60.05844794
2022-05-20T10:00:00+07:00,975.45,978.69,973.63,976.53,970.445,979.07,961.82,58.63292541,59.86312787
2022-05-20T11:00:00+07:00,977.14,977.55,974.22,975.71,970.255,978.69,961.82,61.64733582,58.6857803
2022-05-20T12:00:00+07:00,976.16,976.81,973.72,975.3,970.255,978.69,961.82,77.65645096,65.97890406
2022-05-20T14:00:00+07:00,977.9,979.65,976.03,979.33,972.555,979.65,965.46,82.27748336,73.86042338
2022-05-20T15:00:00+07:00,978.28,979.41,976.94,978.98,972.555,979.65,965.46,86.07581579,82.00325004
2022-05-20T16:00:00+07:00,979.14,979.94,977.36,977.36,972.7,979.94,965.46,81.64263293,83.33197736
2022-05-23T09:00:00+07:00,981.02,982.38,980.7,981.95,974.52,982.38,966.66,80.80865808,82.84236893
2022-05-23T10:00:00+07:00,981.47,982.83,978.8,982.27,974.745,982.83,966.66,81.77341608,81.4082357
2022-05-23T11:00:00+07:00,981.85,985.72,980.44,983.41,979.675,985.72,973.63,86.82985098,83.13730838
2022-05-23T12:00:00+07:00,984.09,985.05,983.11,984.8,979.72,985.72,973.72,84.81670873,84.47332526
2022-05-23T14:00:00+07:00,985.36,986.74,983.75,985.3,980.23,986.74,973.72,81.51646672,84.38767548
2022-05-23T15:00:00+07:00,984.33,985.72,982.38,983.49,981.385,986.74,976.03,76.64240175,80.99185907
2022-05-23T16:00:00+07:00,984.08,986.94,982.92,986.94,981.94,986.94,976.94,80.31066331,79.48984393
2022-05-24T09:00:00+07:00,986.94,987.14,986.46,986.46,982.25,987.14,977.36,81.5940986,79.51572122
